"gene","avg_log2FC","p_val_adj"
"RPS26",1.66228856199341,0
"MTRNR2L12",1.57110784683767,3.47644351039735e-318
"MT-CO3",-0.731484269035011,1.06436106428697e-277
"MT-ND5",-0.863791233282944,2.93480526377856e-253
"RPL39",0.365845862581429,1.13881145333048e-251
"NFKBIA",1.24165061603864,1.69009142319204e-227
"MTRNR2L8",-6.39303466113062,2.81154350737646e-223
"MT-CYB",-0.590555452283285,7.04981232495894e-210
"RPL41",0.261323872992078,1.01629664463468e-199
"MT-CO2",-0.465195384211774,3.44002770042265e-191
